id,name,slug,created_at,updated_at
1,Adventure,adventure,"2026-03-15 15:50:06","2026-03-15 15:50:06"
2,Animals,animals,"2026-03-15 15:50:06","2026-03-15 15:50:06"
3,Bedtime,bedtime,"2026-03-15 15:50:06","2026-03-15 15:50:06"
4,Comedy,comedy,"2026-03-15 15:50:06","2026-03-15 15:50:06"
5,"Fairy Tales",fairy-tales,"2026-03-15 15:50:06","2026-03-15 15:50:06"
6,Fantasy,fantasy,"2026-03-15 15:50:06","2026-03-15 15:50:06"
7,History,history,"2026-03-15 15:50:06","2026-03-15 15:50:06"
8,"Picture Books",picture-books,"2026-03-15 15:50:06","2026-03-15 15:50:06"
9,"Science Fiction",science-fiction,"2026-03-15 15:50:06","2026-03-15 15:50:06"
10,Sports,sports,"2026-03-15 15:50:06","2026-03-15 15:50:06"
